1	0	i	s	6.41622
1	0	h	k	5.06689
1	0	h	c	6.84221
1	0	h	n	4.49811
1	0	h	t	4.95877
1	0	h	i	5.18398
1	0	h	s	4.87479
1	0	h	v	7.32094
1	0	h	q	11.364
1	0	h	d	5.89594
1	0	h	m	4.88702
1	0	h	y	5.21126
1	0	h	x	8.9661
1	0	h	e	5.53505
1	0	h	z	6.42952
1	0	h	j	6.25201
1	0	h	f	6.45872
1	0	h	w	5.04323
1	0	h	h	0.112176
1	0	h	<sil>	5.76928
1	0	h	a	4.41798
1	0	h	p	6.08079
1	0	h	o	5.93027
1	0	h	u	5.6146
1	0	h	l	5.36011
1	0	h	g	6.26413
1	0	h	r	5.88336
1	0	h	b	6.14906
1	0	k	t	4.57457
1	0	k	n	5.35583
1	0	k	a	5.39155
1	0	k	g	5.82
1	0	k	d	6.45444
1	0	k	v	6.80861
1	0	k	y	5.81074
1	0	k	h	4.95819
1	0	k	j	6.44571
1	0	k	o	5.88237
1	0	k	s	5.09933
1	0	k	b	6.02015
1	0	k	p	5.44444
1	0	k	r	6.22082
1	0	k	e	6.03158
1	0	k	w	5.98115
1	0	k	l	5.97028
1	0	k	<sil>	5.35876
1	0	k	f	6.04897
1	0	k	q	8.55158
1	0	k	k	0.0850495
1	0	k	x	10.4975
1	0	k	z	6.23481
1	0	k	c	6.249
1	0	k	m	5.66121
1	0	k	i	5.94889
1	0	k	u	6.06667
1	0	j	<sil>	5.00395
1	0	j	j	0.10726
1	0	j	x	9.70443
1	0	j	i	4.67399
1	0	j	l	5.36062
1	0	j	m	5.96676
1	0	j	k	4.97704
1	0	j	y	5.30998
1	0	j	o	6.33713
1	0	j	f	7.40184
1	0	j	b	5.85428
1	0	j	p	6.56893
1	0	j	w	5.40036
1	0	j	s	5.62689
1	0	j	t	4.74158
1	0	j	g	5.30998
1	0	j	e	5.16113
1	0	j	q	9.01128
1	0	j	c	6.61338
1	0	j	n	4.79177
1	0	j	a	5.87579
1	0	j	d	5.48492
1	0	j	v	6.93184
1	0	j	z	5.85428
1	0	j	r	5.92024
1	0	j	h	4.8524
1	0	j	u	6.6599
1	0	m	g	6.03666
1	0	m	o	5.76558
1	0	m	d	6.27185
1	0	m	b	6.22018
1	0	m	t	5.98417
1	0	m	s	5.86134
1	0	m	u	5.19364
1	0	m	m	0.10592
1	0	m	j	6.94996
1	0	m	e	4.02215
1	0	m	x	11.1546
1	0	m	r	6.45417
1	0	m	h	4.49921
1	0	m	z	6.67731
1	0	m	y	6.01299
1	0	m	n	4.38271
1	0	m	v	7.1293
1	0	m	i	4.90275
1	0	m	k	5.73411
1	0	m	c	7.39345
1	0	m	<sil>	5.30532
1	0	m	l	5.6372
1	0	m	a	4.96024
1	0	m	w	5.7297
1	0	m	p	6.90615
1	0	m	f	7.51706
1	0	l	d	5.31097
1	0	l	m	5.02329
1	0	l	h	4.75213
1	0	l	a	5.45786
1	0	l	e	5.72466
1	0	l	i	5.71643
1	0	l	j	5.68417
1	0	l	k	4.97138
1	0	l	g	5.40246
1	0	l	c	7.22462
1	0	l	<sil>	5.21219
1	0	l	b	6.0096
1	0	l	f	7.63008
1	0	l	z	5.35567
1	0	l	r	5.19745
1	0	l	v	6.28635
1	0	l	u	6.02065
1	0	l	s	5.2526
1	0	l	w	5.43286
1	0	l	y	5.00703
1	0	l	p	6.71379
1	0	l	l	0.122455
1	0	l	o	6.46001
1	0	l	t	5.19745
1	0	l	n	3.85477
1	0	o	e	4.16776
1	0	o	l	6.80554
1	0	o	u	4.46959
1	0	o	d	7.6954
1	0	o	s	6.42418
1	0	o	r	7.00225
1	0	o	g	8.26595
1	0	o	m	5.92562
1	0	o	k	6.70376
1	0	o	f	7.88646
1	0	o	p	7.88646
1	0	o	i	4.66969
1	0	o	n	6.44887
1	0	o	o	0.103628
1	0	o	h	6.13955
1	0	o	j	7.6954
1	0	o	y	6.98075
1	0	o	a	3.25429
1	0	o	t	6.67201
1	0	o	v	8.433
1	0	o	c	7.49869
1	0	o	z	8.26595
1	0	o	<sil>	5.37131
1	0	o	w	6.2983
1	0	o	b	7.53506
1	0	o	x	9.4446
1	0	n	v	6.52808
1	0	n	n	0.0981485
1	0	n	i	5.44152
1	0	n	<sil>	5.39997
1	0	n	x	10.0366
1	0	n	y	5.74892
1	0	n	r	5.76275
1	0	n	h	4.6991
1	0	n	p	6.62219
1	0	n	f	7.34201
1	0	n	a	5.61299
1	0	n	s	5.06543
1	0	n	g	6.87539
1	0	n	c	7.32859
1	0	n	d	6.40963
1	0	n	w	5.31814
1	0	n	u	5.6178
1	0	n	e	5.55703
1	0	n	b	5.93565
1	0	n	t	5.21153
1	0	n	z	5.72987
1	0	n	l	4.61699
1	0	n	o	6.69731
1	0	n	j	6.27544
1	0	n	m	4.49459
1	0	n	k	5.39997
1	0	q	q
1	0	p	f	5.43242
1	0	p	p	0.122157
1	0	p	w	4.76958
1	0	p	m	5.44746
1	0	p	i	5.83045
1	0	p	k	4.33879
1	0	p	s	4.62647
1	0	p	v	6.34127
1	0	p	b	4.95498
1	0	p	g	6.02619
1	0	p	n	5.10451
1	0	p	a	5.37443
1	0	p	<sil>	5.34665
1	0	p	t	4.406
1	0	p	l	5.59406
1	0	p	u	5.70528
1	0	p	y	5.72509
1	0	p	d	5.97355
1	0	p	h	4.82493
1	0	p	z	6.1406
1	0	p	o	6.41823
1	0	p	e	5.80847
1	0	p	r	5.89944
1	0	p	j	6.86452
1	0	p	c	6.37901
1	0	s	j	6.71306
1	0	s	m	5.41676
1	0	s	a	5.66487
1	0	s	u	5.62543
1	0	s	b	5.8681
1	0	s	f	5.67064
1	0	s	r	5.92609
1	0	s	y	5.65914
1	0	s	l	5.4303
1	0	s	t	4.25165
1	0	s	p	5.36434
1	0	s	<sil>	5.63654
1	0	s	s	0.122552
1	0	s	d	5.80005
1	0	s	k	4.49778
1	0	s	e	5.2442
1	0	s	g	6.54726
1	0	s	i	5.68813
1	0	s	v	6.6968
1	0	s	h	4.36403
1	0	s	o	6.50644
1	0	s	x	9.21449
1	0	s	w	5.13695
1	0	s	c	5.8335
1	0	s	z	5.49605
1	0	s	n	4.54729
1	0	r	c	7.95493
1	0	r	t	5.75771
1	0	r	g	6.19708
1	0	r	k	5.48683
1	0	r	x	8.87122
1	0	r	s	5.69317
1	0	r	a	5.69317
1	0	r	u	6.42888
1	0	r	z	6.13038
1	0	r	y	6.23217
1	0	r	o	6.73116
1	0	r	e	5.8508
1	0	r	d	6.00902
1	0	r	h	5.30169
1	0	r	r	0.0718646
1	0	r	j	6.47333
1	0	r	v	6.38632
1	0	r	w	5.78018
1	0	r	l	4.9394
1	0	r	i	6.26854
1	0	r	m	6.03801
1	0	r	<sil>	5.4535
1	0	r	p	6.47333
1	0	r	n	4.58764
1	0	r	f	7.77261
1	0	r	b	6.61993
1	0	u	d	7.08956
1	0	u	c	7.17412
1	0	u	y	6.38968
1	0	u	o	4.81437
1	0	u	f	7.68005
1	0	u	z	7.5018
1	0	u	m	5.46403
1	0	u	t	6.4378
1	0	u	e	4.97038
1	0	u	v	7.73006
1	0	u	h	6.26373
1	0	u	r	6.95097
1	0	u	w	6.00455
1	0	u	l	6.7785
1	0	u	i	4.06125
1	0	u	x	8.62103
1	0	u	n	5.84455
1	0	u	p	6.83975
1	0	u	s	6.29987
